city,country,year,city_temp,glo_temp
Seoul,South Korea,1990,11.86,9.23
Seoul,South Korea,1991,11.39,9.18
Seoul,South Korea,1992,11.48,8.84
Seoul,South Korea,1993,11.02,8.87
Seoul,South Korea,1994,12.32,9.04
Seoul,South Korea,1995,11.27,9.35
Seoul,South Korea,1996,11.13,9.04
Seoul,South Korea,1997,11.70,9.20
Seoul,South Korea,1998,12.66,9.52
Seoul,South Korea,1999,12.13,9.29
Seoul,South Korea,2000,11.42,9.20
Seoul,South Korea,2001,11.60,9.41
Seoul,South Korea,2002,11.80,9.57
Seoul,South Korea,2003,11.80,9.53
Seoul,South Korea,2004,12.25,9.32
Seoul,South Korea,2005,11.16,9.70
Seoul,South Korea,2006,12.01,9.53
Seoul,South Korea,2007,12.25,9.73
Seoul,South Korea,2008,11.96,9.43
Seoul,South Korea,2009,11.84,9.51
Seoul,South Korea,2010,11.30,9.70
Seoul,South Korea,2011,11.12,9.52
Seoul,South Korea,2012,11.23,9.51
Seoul,South Korea,2013,12.12,9.61
